iter	Passed	Remaining
0	197	98476
1	274	68401
2	334	55339
3	433	53804
4	520	51517
5	594	48977
6	661	46584
7	736	45291
8	822	44896
9	900	44103
10	947	42132
11	976	39711
12	1055	39554
13	1147	39819
14	1201	38856
15	1259	38110
16	1316	37402
17	1390	37228
18	1473	37304
19	1546	37126
20	1619	36937
21	1646	35778
22	1714	35559
23	1794	35594
24	1869	35528
25	1923	35061
26	1991	34891
27	2061	34751
28	2100	34107
29	2158	33817
30	2224	33658
31	2253	32950
32	2340	33117
33	2417	33129
34	2500	33226
35	2579	33242
36	2659	33274
37	2737	33281
38	2813	33252
39	2887	33204
40	2961	33148
41	2994	32655
42	3035	32262
43	3106	32193
44	3179	32148
45	3222	31808
46	3301	31818
47	3372	31761
48	3398	31277
49	3467	31210
50	3533	31106
51	3601	31025
52	3668	30938
53	3751	30987
54	3812	30848
55	3864	30636
56	3939	30617
57	4052	30880
58	4121	30803
59	4177	30635
60	4267	30713
61	4329	30583
62	4409	30585
63	4482	30537
64	4560	30522
65	4633	30469
66	4708	30430
67	4783	30386
68	4841	30241
69	4914	30191
70	4987	30138
71	5041	29971
72	5096	29808
73	5175	29795
74	5240	29698
75	5309	29621
76	5351	29395
77	5409	29266
78	5478	29194
79	5532	29043
80	5616	29052
81	5688	28998
82	5764	28962
83	5834	28894
84	5886	28737
85	5939	28592
86	6011	28537
87	6088	28505
88	6163	28463
89	6246	28457
90	6311	28368
91	6393	28353
92	6472	28324
93	6546	28275
94	6618	28215
95	6702	28206
96	6795	28234
97	6870	28184
98	6934	28089
99	7002	28011
100	7079	27966
101	7149	27895
102	7215	27811
103	7284	27737
104	7360	27689
105	7429	27614
106	7482	27482
107	7533	27344
108	7587	27216
109	7665	27176
110	7739	27123
111	7795	27007
112	7852	26891
113	7910	26783
114	7975	26702
115	8032	26591
116	8093	26493
117	8178	26476
118	8235	26367
119	8290	26253
120	8345	26141
121	8404	26038
122	8502	26059
123	8581	26022
124	8636	25909
125	8688	25788
126	8741	25674
127	8810	25604
128	8863	25492
129	8915	25376
130	8969	25264
131	9024	25159
132	9078	25050
133	9132	24944
134	9185	24835
135	9246	24747
136	9304	24653
137	9381	24608
138	9440	24518
139	9542	24538
140	9669	24619
141	9746	24571
142	9831	24543
143	9903	24484
144	9976	24424
145	10053	24377
146	10133	24333
147	10193	24243
148	10248	24142
149	10325	24093
150	10383	23997
151	10482	23998
152	10558	23946
153	10636	23897
154	10733	23890
155	10801	23818
156	10871	23751
157	10943	23688
158	11006	23604
159	11094	23575
160	11151	23479
161	11204	23377
162	11283	23329
163	11347	23247
164	11404	23154
165	11477	23092
166	11529	22990
167	11584	22893
168	11651	22820
169	11714	22740
170	11789	22683
171	11841	22581
172	11911	22514
173	11977	22440
174	12035	22351
175	12117	22306
176	12186	22238
177	12256	22172
178	12327	22106
179	12380	22010
180	12444	21932
181	12505	21850
182	12575	21783
183	12643	21713
184	12716	21651
185	12781	21576
186	12837	21487
187	12919	21441
188	12987	21370
189	13060	21309
190	13136	21251
191	13197	21170
192	13269	21107
193	13340	21041
194	13403	20965
195	13468	20889
196	13523	20799
197	13578	20710
198	13634	20622
199	13700	20550
200	13757	20464
201	13822	20391
202	13891	20323
203	13978	20282
